,Rank,Movie Name,Year of release,IMDB Rating
0,1,Le ali della libertÃ ,1994,9.2
1,2,Il padrino,1972,9.2
2,3,Il cavaliere oscuro,2008,9.0
3,4,Il padrino - Parte II,1974,9.0
4,5,La parola ai giurati,1957,9.0
5,6,Schindler's List,1993,8.9
6,7,Il Signore degli Anelli - Il ritorno del re,2003,8.9
7,8,Pulp Fiction,1994,8.8
8,9,Il Signore degli Anelli - La compagnia dell'Anello,2001,8.8
9,10,"Il buono, il brutto, il cattivo",1966,8.8
10,11,Forrest Gump,1994,8.8
11,12,Fight Club,1999,8.7
12,13,Il Signore degli Anelli - Le due torri,2002,8.7
13,14,Inception,2010,8.7
14,15,L'Impero colpisce ancora,1980,8.7
15,16,Matrix,1999,8.7
16,17,Quei bravi ragazzi,1990,8.7
17,18,Qualcuno volÃ² sul nido del cuculo,1975,8.6
18,19,Seven,1995,8.6
19,20,I sette samurai,1954,8.6
20,21,La vita Ã¨ meravigliosa,1946,8.6
21,22,Il silenzio degli innocenti,1991,8.6
22,23,City of God,2002,8.6
23,24,Salvate il soldato Ryan,1998,8.6
24,25,Interstellar,2014,8.6
25,26,La vita Ã¨ bella,1997,8.6
26,27,Il miglio verde,1999,8.6
27,28,Guerre stellari,1977,8.5
28,29,Terminator 2 - Il giorno del giudizio,1991,8.5
29,30,Ritorno al futuro,1985,8.5
30,31,La cittÃ  incantata,2001,8.5
31,32,Il pianista,2002,8.5
32,33,Psyco,1960,8.5
33,34,Parasite,2019,8.5
34,35,LÃ©on,1994,8.5
35,36,Il Re Leone,1994,8.5
36,37,Il gladiatore,2000,8.5
37,38,American History X,1998,8.5
38,39,The Departed - Il bene e il male,2006,8.5
39,40,I soliti sospetti,1995,8.5
40,41,The Prestige,2006,8.5
41,42,Whiplash,2014,8.5
42,43,Casablanca,1942,8.5
43,44,Una tomba per le lucciole,1988,8.5
44,45,Harakiri,1962,8.5
45,46,Quasi amici - Intouchables,2011,8.5
46,47,Tempi moderni,1936,8.4
47,48,C'era una volta il West,1968,8.4
48,49,La finestra sul cortile,1954,8.4
49,50,Nuovo Cinema Paradiso,1988,8.4
50,51,Alien,1979,8.4
51,52,Luci della cittÃ ,1931,8.4
52,53,Apocalypse Now,1979,8.4
53,54,Memento,2000,8.4
54,55,Django Unchained,2012,8.4
55,56,I predatori dell'arca perduta,1981,8.4
56,57,WALLÂ·E,2008,8.4
57,58,Le vite degli altri,2006,8.4
58,59,Viale del tramonto,1950,8.4
59,60,Orizzonti di gloria,1957,8.4
60,61,Shining,1980,8.4
61,62,Il grande dittatore,1940,8.4
62,63,Avengers: Infinity War,2018,8.4
63,64,Testimone d'accusa,1957,8.4
64,65,Aliens - Scontro finale,1986,8.3
65,66,Spider-Man: Un nuovo universo,2018,8.3
66,67,American Beauty,1999,8.3
67,68,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,1964,8.3
68,69,Il cavaliere oscuro - Il ritorno,2012,8.3
69,70,Oldboy,2003,8.3
70,71,Bastardi senza gloria,2009,8.3
71,72,Amadeus,1984,8.3
72,73,Coco,2017,8.3
73,74,Toy Story - Il mondo dei giocattoli,1995,8.3
74,75,Joker,2019,8.3
75,76,Braveheart - Cuore impavido,1995,8.3
76,77,U-Boot 96,1981,8.3
77,78,Avengers: Endgame,2019,8.3
78,79,Principessa Mononoke,1997,8.3
79,80,C'era una volta in America,1984,8.3
80,81,Will Hunting - Genio ribelle,1997,8.3
81,82,Your Name.,2016,8.3
82,83,3 Idiots,2009,8.3
83,84,Cantando sotto la pioggia,1952,8.3
84,85,Requiem for a Dream,2000,8.3
85,86,Toy Story 3 - La grande fuga,2010,8.3
86,87,Anatomia di un rapimento,1963,8.3
87,88,Cafarnao - Caos e miracoli,2018,8.3
88,89,Il ritorno dello Jedi,1983,8.3
89,90,Se mi lasci ti cancello,2004,8.3
90,91,2001: Odissea nello spazio,1968,8.3
91,92,Le iene,1992,8.3
92,93,Va' e vedi,1985,8.3
93,94,Il sospetto,2012,8.3
94,95,Quarto potere,1941,8.3
95,96,M - Il mostro di DÃ¼sseldorf,1931,8.3
96,97,Lawrence d'Arabia,1962,8.3
97,98,Intrigo internazionale,1959,8.2
98,99,La donna che visse due volte,1958,8.2
99,100,Il favoloso mondo di AmÃ©lie,2001,8.2
100,101,Vivere,1952,8.2
101,102,L'appartamento,1960,8.2
102,103,Arancia meccanica,1971,8.2
103,104,Top Gun: Maverick,2022,8.2
104,105,La fiamma del peccato,1944,8.2
105,106,Full Metal Jacket,1987,8.2
106,107,Scarface,1983,8.2
107,108,Hamilton,2020,8.2
108,109,La donna che canta,2010,8.2
109,110,Il buio oltre la siepe,1962,8.2
110,111,Heat - La sfida,1995,8.2
111,112,La stangata,1973,8.2
112,113,Up,2009,8.2
